Frequency, Analyse ->, Output 1, Output 2, Output 3, Output 4, Output 5, Output 6, Output 7, Output8
39 Hz, ,0.0085963,0.0085963,0.0085963,0.0085963,0.0085963,0.0085963,0.0085963,0.0085963,
39.5 Hz, ,0.0126036,0.0126036,0.0126036,0.0126036,0.0126036,0.0126036,0.0126036,0.0126036,
40 Hz, ,0.00865141,0.00865141,0.00865141,0.00865141,0.00865141,0.00865141,0.00865141,0.00865141,
40.5 Hz, ,0.0114813,0.0114813,0.0114813,0.0114813,0.0114813,0.0114813,0.0114813,0.0114813,
41 Hz, ,0.00870454,0.00870454,0.00870454,0.00870454,0.00870454,0.00870454,0.00870454,0.00870454,
41.5 Hz, ,0.0104856,0.0104856,0.0104856,0.0104856,0.0104856,0.0104856,0.0104856,0.0104856,
42 Hz, ,0.00875559,0.00875559,0.00875559,0.00875559,0.00875559,0.00875559,0.00875559,0.00875559,
42.5 Hz, ,0.00959103,0.00959103,0.00959103,0.00959103,0.00959103,0.00959103,0.00959103,0.00959103,
43 Hz, ,0.00880446,0.00880446,0.00880446,0.00880446,0.00880446,0.00880446,0.00880446,0.00880446,
43.5 Hz, ,0.00877863,0.00877863,0.00877863,0.00877863,0.00877863,0.00877863,0.00877863,0.00877863,
44 Hz, ,0.00885104,0.00885104,0.00885104,0.00885104,0.00885104,0.00885104,0.00885104,0.00885104,
44.5 Hz, ,0.00803364,0.00803364,0.00803364,0.00803364,0.00803364,0.00803364,0.00803364,0.00803364,
45 Hz, ,0.00889525,0.00889525,0.00889525,0.00889525,0.00889525,0.00889525,0.00889525,0.00889525,
45.5 Hz, ,0.0073445,0.0073445,0.0073445,0.0073445,0.0073445,0.0073445,0.0073445,0.0073445,
46 Hz, ,0.00893701,0.00893701,0.00893701,0.00893701,0.00893701,0.00893701,0.00893701,0.00893701,
46.5 Hz, ,0.00670205,0.00670205,0.00670205,0.00670205,0.00670205,0.00670205,0.00670205,0.00670205,
47 Hz, ,0.00897622,0.00897622,0.00897622,0.00897622,0.00897622,0.00897622,0.00897622,0.00897622,
47.5 Hz, ,0.00609893,0.00609893,0.00609893,0.00609893,0.00609893,0.00609893,0.00609893,0.00609893,
48 Hz, ,0.00901282,0.00901282,0.00901282,0.00901282,0.00901282,0.00901282,0.00901282,0.00901282,
48.5 Hz, ,0.00552919,0.00552919,0.00552919,0.00552919,0.00552919,0.00552919,0.00552919,0.00552919,
49 Hz, ,0.00904674,0.00904674,0.00904674,0.00904674,0.00904674,0.00904674,0.00904674,0.00904674,
49.5 Hz, ,0.00498799,0.00498799,0.00498799,0.00498799,0.00498799,0.00498799,0.00498799,0.00498799,
50 Hz, ,0.00907793,0.00907793,0.00907793,0.00907793,0.00907793,0.00907793,0.00907793,0.00907793,
50.5 Hz, ,0.00447142,0.00447142,0.00447142,0.00447142,0.00447142,0.00447142,0.00447142,0.00447142,
51 Hz, ,0.00910631,0.00910631,0.00910631,0.00910631,0.00910631,0.00910631,0.00910631,0.00910631,
51.5 Hz, ,0.00397638,0.00397638,0.00397638,0.00397638,0.00397638,0.00397638,0.00397638,0.00397638,
52 Hz, ,0.00913184,0.00913184,0.00913184,0.00913184,0.00913184,0.00913184,0.00913184,0.00913184,
52.5 Hz, ,0.00350051,0.00350051,0.00350051,0.00350051,0.00350051,0.00350051,0.00350051,0.00350051,
53 Hz, ,0.00915447,0.00915447,0.00915447,0.00915447,0.00915447,0.00915447,0.00915447,0.00915447,
53.5 Hz, ,0.00304231,0.00304231,0.00304231,0.00304231,0.00304231,0.00304231,0.00304231,0.00304231,
54 Hz, ,0.00917417,0.00917417,0.00917417,0.00917417,0.00917417,0.00917417,0.00917417,0.00917417,
54.5 Hz, ,0.00260135,0.00260135,0.00260135,0.00260135,0.00260135,0.00260135,0.00260135,0.00260135,
55 Hz, ,0.00919089,0.00919089,0.00919089,0.00919089,0.00919089,0.00919089,0.00919089,0.00919089,
55.5 Hz, ,0.00217892,0.00217892,0.00217892,0.00217892,0.00217892,0.00217892,0.00217892,0.00217892,
56 Hz, ,0.00920462,0.00920462,0.00920462,0.00920462,0.00920462,0.00920462,0.00920462,0.00920462,
56.5 Hz, ,0.00177947,0.00177947,0.00177947,0.00177947,0.00177947,0.00177947,0.00177947,0.00177947,
57 Hz, ,0.00921531,0.00921531,0.00921531,0.00921531,0.00921531,0.00921531,0.00921531,0.00921531,
57.5 Hz, ,0.00141424,0.00141424,0.00141424,0.00141424,0.00141424,0.00141424,0.00141424,0.00141424,
58 Hz, ,0.00922297,0.00922297,0.00922297,0.00922297,0.00922297,0.00922297,0.00922297,0.00922297,
58.5 Hz, ,0.00110973,0.00110973,0.00110973,0.00110973,0.00110973,0.00110973,0.00110973,0.00110973,
59 Hz, ,0.00922756,0.00922756,0.00922756,0.00922756,0.00922756,0.00922756,0.00922756,0.00922756,
59.5 Hz, ,0.000921912,0.000921912,0.000921912,0.000921912,0.000921912,0.000921912,0.000921912,0.000921912,
