Frequency, Analyse ->, Output 1, Output 2, Output 3, Output 4, Output 5, Output 6, Output 7, Output8
17 Hz, ,0.0133961,0.0133961,0.0133961,0.0133961,0.0133961,0.0133961,0.0133961,0.0133961,
18 Hz, ,0.487509,0.487509,0.487509,0.487509,0.487509,0.487509,0.487509,0.487509,
19 Hz, ,0.0123225,0.0123225,0.0123225,0.0123225,0.0123225,0.0123225,0.0123225,0.0123225,
20 Hz, ,0.0117851,0.0117851,0.0117851,0.0117851,0.0117851,0.0117851,0.0117851,0.0117851,
21 Hz, ,0.011256,0.011256,0.011256,0.011256,0.011256,0.011256,0.011256,0.011256,
22 Hz, ,0.0107424,0.0107424,0.0107424,0.0107424,0.0107424,0.0107424,0.0107424,0.0107424,
23 Hz, ,0.0102528,0.0102528,0.0102528,0.0102528,0.0102528,0.0102528,0.0102528,0.0102528,
24 Hz, ,0.00979643,0.00979643,0.00979643,0.00979643,0.00979643,0.00979643,0.00979643,0.00979643,
25 Hz, ,0.00938361,0.00938361,0.00938361,0.00938361,0.00938361,0.00938361,0.00938361,0.00938361,
26 Hz, ,0.00902508,0.00902508,0.00902508,0.00902508,0.00902508,0.00902508,0.00902508,0.00902508,
27 Hz, ,0.00873168,0.00873168,0.00873168,0.00873168,0.00873168,0.00873168,0.00873168,0.00873168,
28 Hz, ,0.0085135,0.0085135,0.0085135,0.0085135,0.0085135,0.0085135,0.0085135,0.0085135,
29 Hz, ,0.00837886,0.00837886,0.00837886,0.00837886,0.00837886,0.00837886,0.00837886,0.00837886,
30 Hz, ,0.00833334,0.00833334,0.00833334,0.00833334,0.00833334,0.00833334,0.00833334,0.00833334,
31 Hz, ,0.00837887,0.00837887,0.00837887,0.00837887,0.00837887,0.00837887,0.00837887,0.00837887,
32 Hz, ,0.00851349,0.00851349,0.00851349,0.00851349,0.00851349,0.00851349,0.00851349,0.00851349,
33 Hz, ,0.00873168,0.00873168,0.00873168,0.00873168,0.00873168,0.00873168,0.00873168,0.00873168,
34 Hz, ,0.00902508,0.00902508,0.00902508,0.00902508,0.00902508,0.00902508,0.00902508,0.00902508,
35 Hz, ,0.00938361,0.00938361,0.00938361,0.00938361,0.00938361,0.00938361,0.00938361,0.00938361,
36 Hz, ,0.00979642,0.00979642,0.00979642,0.00979642,0.00979642,0.00979642,0.00979642,0.00979642,
37 Hz, ,0.0102528,0.0102528,0.0102528,0.0102528,0.0102528,0.0102528,0.0102528,0.0102528,
38 Hz, ,0.0107424,0.0107424,0.0107424,0.0107424,0.0107424,0.0107424,0.0107424,0.0107424,
39 Hz, ,0.011256,0.011256,0.011256,0.011256,0.011256,0.011256,0.011256,0.011256,
40 Hz, ,0.0117851,0.0117851,0.0117851,0.0117851,0.0117851,0.0117851,0.0117851,0.0117851,
41 Hz, ,0.0123224,0.0123224,0.0123224,0.0123224,0.0123224,0.0123224,0.0123224,0.0123224,
42 Hz, ,0.487509,0.487509,0.487509,0.487509,0.487509,0.487509,0.487509,0.487509,
43 Hz, ,0.0133961,0.0133961,0.0133961,0.0133961,0.0133961,0.0133961,0.0133961,0.0133961,
44 Hz, ,0.0139218,0.0139218,0.0139218,0.0139218,0.0139218,0.0139218,0.0139218,0.0139218,
45 Hz, ,0.0144338,0.0144338,0.0144338,0.0144338,0.0144338,0.0144338,0.0144338,0.0144338,
46 Hz, ,0.0149282,0.0149282,0.0149282,0.0149282,0.0149282,0.0149282,0.0149282,0.0149282,
47 Hz, ,0.0154016,0.0154016,0.0154016,0.0154016,0.0154016,0.0154016,0.0154016,0.0154016,
48 Hz, ,0.0158509,0.0158509,0.0158509,0.0158509,0.0158509,0.0158509,0.0158509,0.0158509,
49 Hz, ,0.0162734,0.0162734,0.0162734,0.0162734,0.0162734,0.0162734,0.0162734,0.0162734,
50 Hz, ,0.0166667,0.0166667,0.0166667,0.0166667,0.0166667,0.0166667,0.0166667,0.0166667,
51 Hz, ,0.0170285,0.0170285,0.0170285,0.0170285,0.0170285,0.0170285,0.0170285,0.0170285,
52 Hz, ,0.0173571,0.0173571,0.0173571,0.0173571,0.0173571,0.0173571,0.0173571,0.0173571,
53 Hz, ,0.0176507,0.0176507,0.0176507,0.0176507,0.0176507,0.0176507,0.0176507,0.0176507,
54 Hz, ,0.017908,0.017908,0.017908,0.017908,0.017908,0.017908,0.017908,0.017908,
55 Hz, ,0.0181277,0.0181277,0.0181277,0.0181277,0.0181277,0.0181277,0.0181277,0.0181277,
56 Hz, ,0.0183089,0.0183089,0.0183089,0.0183089,0.0183089,0.0183089,0.0183089,0.0183089,
57 Hz, ,0.0184506,0.0184506,0.0184506,0.0184506,0.0184506,0.0184506,0.0184506,0.0184506,
58 Hz, ,0.0185523,0.0185523,0.0185523,0.0185523,0.0185523,0.0185523,0.0185523,0.0185523,
59 Hz, ,0.0186135,0.0186135,0.0186135,0.0186135,0.0186135,0.0186135,0.0186135,0.0186135,
