Frequency, Analyse ->, Output 1, Output 2, Output 3, Output 4, Output 5, Output 6, Output 7, Output8
31.4 Hz, ,0.0243511,0.0243511,0.0243511,0.0243511,0.0243511,0.0243511,0.0243511,0.0243511,
32 Hz, ,0.0214041,0.0214041,0.0214041,0.0214041,0.0214041,0.0214041,0.0214041,0.0214041,
32.6 Hz, ,0.014944,0.014944,0.014944,0.014944,0.014944,0.014944,0.014944,0.014944,
33.2 Hz, ,0.0323376,0.0323376,0.0323376,0.0323376,0.0323376,0.0323376,0.0323376,0.0323376,
33.8 Hz, ,0.00154586,0.00154586,0.00154586,0.00154586,0.00154586,0.00154586,0.00154586,0.00154586,
34.4 Hz, ,0.0357868,0.0357868,0.0357868,0.0357868,0.0357868,0.0357868,0.0357868,0.0357868,
35 Hz, ,0.0222702,0.0222702,0.0222702,0.0222702,0.0222702,0.0222702,0.0222702,0.0222702,
35.6 Hz, ,0.02858,0.02858,0.02858,0.02858,0.02858,0.02858,0.02858,0.02858,
36.2 Hz, ,0.0426756,0.0426756,0.0426756,0.0426756,0.0426756,0.0426756,0.0426756,0.0426756,
36.8 Hz, ,0.00903335,0.00903335,0.00903335,0.00903335,0.00903335,0.00903335,0.00903335,0.00903335,
37.4 Hz, ,0.0569815,0.0569815,0.0569815,0.0569815,0.0569815,0.0569815,0.0569815,0.0569815,
38 Hz, ,0.0228682,0.0228682,0.0228682,0.0228682,0.0228682,0.0228682,0.0228682,0.0228682,
38.6 Hz, ,0.0584667,0.0584667,0.0584667,0.0584667,0.0584667,0.0584667,0.0584667,0.0584667,
39.2 Hz, ,0.0661355,0.0661355,0.0661355,0.0661355,0.0661355,0.0661355,0.0661355,0.0661355,
39.8 Hz, ,0.0383235,0.0383235,0.0383235,0.0383235,0.0383235,0.0383235,0.0383235,0.0383235,
40.4 Hz, ,0.121666,0.121666,0.121666,0.121666,0.121666,0.121666,0.121666,0.121666,
41 Hz, ,0.0231881,0.0231881,0.0231881,0.0231881,0.0231881,0.0231881,0.0231881,0.0231881,
41.6 Hz, ,0.208025,0.208025,0.208025,0.208025,0.208025,0.208025,0.208025,0.208025,
42.2 Hz, ,0.252294,0.252294,0.252294,0.252294,0.252294,0.252294,0.252294,0.252294,
42.8 Hz, ,0.916574,0.916574,0.916574,0.916574,0.916574,0.916574,0.916574,0.916574,
43.4 Hz, ,0.749363,0.749363,0.749363,0.749363,0.749363,0.749363,0.749363,0.749363,
44 Hz, ,0.0232594,0.0232594,0.0232594,0.0232594,0.0232594,0.0232594,0.0232594,0.0232594,
44.6 Hz, ,0.195202,0.195202,0.195202,0.195202,0.195202,0.195202,0.195202,0.195202,
45.2 Hz, ,0.065277,0.065277,0.065277,0.065277,0.065277,0.065277,0.065277,0.065277,
45.8 Hz, ,0.0842639,0.0842639,0.0842639,0.0842639,0.0842639,0.0842639,0.0842639,0.0842639,
46.4 Hz, ,0.0793934,0.0793934,0.0793934,0.0793934,0.0793934,0.0793934,0.0793934,0.0793934,
47 Hz, ,0.0230144,0.0230144,0.0230144,0.0230144,0.0230144,0.0230144,0.0230144,0.0230144,
47.6 Hz, ,0.0695081,0.0695081,0.0695081,0.0695081,0.0695081,0.0695081,0.0695081,0.0695081,
48.2 Hz, ,0.0151353,0.0151353,0.0151353,0.0151353,0.0151353,0.0151353,0.0151353,0.0151353,
48.8 Hz, ,0.0480228,0.0480228,0.0480228,0.0480228,0.0480228,0.0480228,0.0480228,0.0480228,
49.4 Hz, ,0.0356171,0.0356171,0.0356171,0.0356171,0.0356171,0.0356171,0.0356171,0.0356171,
50 Hz, ,0.022504,0.022504,0.022504,0.022504,0.022504,0.022504,0.022504,0.022504,
50.6 Hz, ,0.0411978,0.0411978,0.0411978,0.0411978,0.0411978,0.0411978,0.0411978,0.0411978,
51.2 Hz, ,0.00114689,0.00114689,0.00114689,0.00114689,0.00114689,0.00114689,0.00114689,0.00114689,
51.8 Hz, ,0.0351648,0.0351648,0.0351648,0.0351648,0.0351648,0.0351648,0.0351648,0.0351648,
52.4 Hz, ,0.0186302,0.0186302,0.0186302,0.0186302,0.0186302,0.0186302,0.0186302,0.0186302,
53 Hz, ,0.0217245,0.0217245,0.0217245,0.0217245,0.0217245,0.0217245,0.0217245,0.0217245,
53.6 Hz, ,0.0275866,0.0275866,0.0275866,0.0275866,0.0275866,0.0275866,0.0275866,0.0275866,
54.2 Hz, ,0.00552294,0.00552294,0.00552294,0.00552294,0.00552294,0.00552294,0.00552294,0.00552294,
54.8 Hz, ,0.0277399,0.0277399,0.0277399,0.0277399,0.0277399,0.0277399,0.0277399,0.0277399,
55.4 Hz, ,0.00912417,0.00912417,0.00912417,0.00912417,0.00912417,0.00912417,0.00912417,0.00912417,
56 Hz, ,0.0206847,0.0206847,0.0206847,0.0206847,0.0206847,0.0206847,0.0206847,0.0206847,
